City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,High Winds,Country,Date
0,faanui,-16.48,-151.75,83.62,62,79,5.86,PF,1585279652
1,kodinsk,58.69,99.18,28.17,94,100,12.08,RU,1585279652
2,castro,-24.79,-50.01,56.23,69,85,5.66,BR,1585279653
3,oktyabrskiy,54.48,53.47,34.66,91,100,1.88,RU,1585279653
4,busselton,-33.65,115.33,75.38,76,100,12.77,AU,1585279653
5,laguna,38.42,-121.42,53.01,53,1,4.7,US,1585279653
6,ushuaia,-54.8,-68.3,42.8,81,40,19.46,AR,1585279370
7,esperance,-33.87,121.9,80.87,38,63,14.74,AU,1585279654
8,beloha,-25.17,45.05,71.2,89,0,3.94,MG,1585279654
9,bathsheba,13.22,-59.52,78.8,69,40,12.75,BB,1585279654
10,sisophon,13.59,102.97,90.72,52,100,6.98,KH,1585279654
11,wajima,37.4,136.9,55.4,93,75,6.93,JP,1585279655
12,pundaguitan,6.37,126.17,81.95,76,62,9.86,PH,1585279655
13,norman wells,65.28,-126.83,5.0,77,90,16.11,CA,1585279655
14,avarua,-21.21,-159.78,87.8,66,20,4.7,CK,1585279656
15,qaanaaq,77.48,-69.36,-7.24,76,100,8.84,GL,1585279656
16,cidreira,-30.18,-50.21,72.48,82,28,18.75,BR,1585279656
17,rafai,4.95,23.92,69.66,77,99,2.62,CF,1585279657
18,sumbawanga,-7.97,31.62,60.8,93,40,1.21,TZ,1585279657
19,pevek,69.7,170.31,-6.3,89,46,2.98,RU,1585279657
20,kapaa,22.08,-159.32,73.4,78,75,25.28,US,1585279657
21,bluff,-46.6,168.33,54.09,67,84,8.88,NZ,1585279657
22,saint george,37.1,-113.58,52.0,34,1,9.17,US,1585279448
23,jamestown,42.1,-79.24,48.0,100,90,3.36,US,1585279658
24,venice,27.1,-82.45,75.0,84,1,4.7,US,1585279658
25,yulara,-25.24,130.99,91.4,22,0,6.93,AU,1585279658
26,sept-iles,50.2,-66.38,28.99,74,75,17.22,CA,1585279659
27,brae,60.4,-1.35,41.0,86,95,12.75,GB,1585279659
28,villa rica,33.73,-84.92,64.99,77,0,4.21,US,1585279659
29,ucluelet,48.93,-125.55,44.01,90,100,4.32,CA,1585279659
30,yellowknife,62.46,-114.35,8.6,55,20,6.93,CA,1585279442
31,airai,-8.93,125.41,70.54,65,32,1.97,TL,1585279660
32,beringovskiy,63.05,179.32,29.34,98,100,14.07,RU,1585279660
33,vaini,-21.2,-175.2,84.2,70,75,8.05,TO,1585279660
34,te anau,-45.42,167.72,52.84,58,66,3.09,NZ,1585279661
35,albany,42.6,-73.97,42.94,84,100,4.41,US,1585279661
36,poltavka,54.37,71.76,28.06,97,100,16.08,RU,1585279661
37,rikitea,-23.12,-134.97,76.77,78,100,15.32,PF,1585279661
38,chernyshevskiy,63.01,112.47,12.29,93,100,6.91,RU,1585279662
39,hermanus,-34.42,19.23,55.92,73,0,11.39,ZA,1585279481
40,poli,-3.33,36.8,64.4,93,90,10.29,TZ,1585279662
41,haverfordwest,51.8,-4.97,42.31,68,0,9.98,GB,1585279629
42,mankono,8.06,-6.19,77.58,67,63,3.51,CI,1585279663
43,san vicente,-26.62,-54.13,64.69,56,3,1.97,AR,1585279663
44,mataura,-46.19,168.86,53.8,63,90,3.62,NZ,1585279663
45,sabang,5.89,95.32,83.64,69,100,2.51,ID,1585279664
46,hilo,19.73,-155.09,75.2,60,90,3.36,US,1585279664
47,tuktoyaktuk,69.45,-133.04,-18.4,75,75,16.11,CA,1585279664
48,chistogorskiy,53.98,87.38,25.36,90,6,8.9,RU,1585279665
49,nyurba,63.28,118.33,11.44,93,100,4.23,RU,1585279665
50,saint-philippe,-21.36,55.77,78.24,80,31,19.04,RE,1585279665
51,thinadhoo,0.53,72.93,82.96,72,0,12.57,MV,1585279665
52,cape town,-33.93,18.42,59.0,67,0,14.99,ZA,1585279666
53,tual,-5.67,132.75,83.48,70,3,6.85,ID,1585279666
54,opuwo,-18.06,13.84,68.56,38,90,3.67,NA,1585279666
55,fallon,39.47,-118.78,39.2,29,75,6.93,US,1585279666
56,aykhal,66.0,111.5,8.46,86,0,6.35,RU,1585279667
57,antalaha,-14.9,50.28,77.92,82,84,7.2,MG,1585279667
58,andros,37.83,24.93,55.99,86,100,8.01,GR,1585279667
59,labuhan,-6.88,112.21,87.98,67,27,2.51,ID,1585279667
60,gull lake,50.1,-108.48,32.54,62,0,10.25,CA,1585279668
61,deputatskiy,69.3,139.9,-8.61,84,100,5.08,RU,1585279668
62,jardim,-21.48,-56.14,74.05,67,90,4.81,BR,1585279668
63,butaritari,3.07,172.79,83.71,77,79,13.78,KI,1585279668
64,lebu,-37.62,-73.65,57.76,89,0,9.08,CL,1585279668
65,hangu,39.25,117.79,47.71,36,1,10.56,CN,1585279669
66,bethel,41.37,-73.41,46.99,65,1,5.82,US,1585279669
67,clyde river,70.47,-68.59,-11.2,76,20,10.29,CA,1585279669
68,fortuna,40.6,-124.16,48.0,75,40,8.05,US,1585279669
69,kodiak,57.79,-152.41,46.4,49,1,13.87,US,1585279670
70,dingle,11.0,122.67,85.15,67,56,15.48,PH,1585279670
71,oussouye,12.48,-16.55,67.84,85,76,8.7,SN,1585279670
72,lorengau,-2.02,147.27,83.46,76,98,9.75,PG,1585279670
73,torbay,47.67,-52.73,30.99,100,90,11.41,CA,1585279670
74,talnakh,69.49,88.4,19.92,95,100,11.36,RU,1585279671
75,okha,53.57,142.95,32.65,96,100,16.2,RU,1585279671
76,caravelas,-17.71,-39.25,75.67,77,60,12.15,BR,1585279671
77,cabiraoan,18.32,122.09,82.99,67,21,8.19,PH,1585279672
78,guerrero negro,27.98,-114.06,58.66,65,100,21.03,MX,1585279672
79,sao filipe,14.9,-24.5,68.45,74,56,18.59,CV,1585279672
80,cherskiy,68.75,161.3,1.85,88,22,3.49,RU,1585279672
81,birin,26.89,88.07,68.31,33,0,3.6,NP,1585279673
82,nirmal,19.1,78.35,87.22,28,0,7.02,IN,1585279673
83,egvekinot,66.32,-179.17,-1.43,89,100,17.02,RU,1585279673
84,zhanaozen,43.3,52.8,38.52,65,0,9.26,KZ,1585279674
85,tyulyachi,55.89,50.24,34.05,91,79,6.31,RU,1585279674
86,yaan,7.38,8.57,81.7,60,100,6.26,NG,1585279674
87,hobart,-42.88,147.33,70.0,52,75,9.17,AU,1585279674
88,henties bay,-22.12,14.28,61.14,86,0,7.18,NA,1585279675
89,marsa matruh,31.35,27.25,59.0,87,0,5.82,EG,1585279675
90,omsukchan,62.53,155.8,14.92,83,1,2.57,RU,1585279675
91,gigmoto,13.78,124.39,82.17,74,6,12.8,PH,1585279676
92,fare,-16.7,-151.02,83.93,65,99,4.0,PF,1585279384
93,ponta do sol,32.67,-17.1,55.0,72,38,1.99,PT,1585279676
94,camana,-16.62,-72.71,72.84,73,69,6.69,PE,1585279676
95,lilongwe,-13.97,33.79,63.14,67,86,2.33,MW,1585279677
96,rio branco,-9.97,-67.81,75.2,100,20,3.36,BR,1585279677
97,san ramon de la nueva oran,-23.13,-64.33,65.79,79,99,1.21,AR,1585279677
98,upernavik,72.79,-56.15,-0.6,79,71,10.27,GL,1585279677
99,am timan,11.03,20.28,79.68,22,97,1.9,TD,1585279678
100,oktyabrskoye,43.06,44.74,39.18,52,18,1.79,RU,1585279678
101,wicklow,53.0,-6.42,35.01,95,22,4.41,IE,1585279678
102,kaitangata,-46.28,169.85,54.0,61,88,8.01,NZ,1585279678
103,montepuez,-13.13,39.0,67.1,84,55,1.7,MZ,1585279679
104,port elizabeth,-33.92,25.57,55.4,62,20,6.93,ZA,1585279679
105,victoria,22.29,114.16,82.0,65,1,15.01,HK,1585279650
106,bengkulu,-3.8,102.27,83.55,72,97,3.24,ID,1585279679
107,los llanos de aridane,28.66,-17.92,60.8,72,6,4.7,ES,1585279680
108,omboue,-1.57,9.26,77.92,84,100,3.44,GA,1585279680
109,ekuvukeni,-28.47,30.16,54.84,51,96,3.18,ZA,1585279680
110,port alfred,-33.59,26.89,57.0,74,18,14.27,ZA,1585279680
111,thompson,55.74,-97.86,26.6,68,90,6.93,CA,1585279681
112,ilhabela,-23.78,-45.36,72.9,77,34,10.36,BR,1585279681
113,new norfolk,-42.78,147.06,70.0,49,44,1.99,AU,1585279681
114,punta arenas,-53.15,-70.92,42.8,87,20,20.8,CL,1585279654
115,broome,42.25,-75.83,48.99,65,40,5.82,US,1585279682
116,mangrol,21.12,70.12,75.63,66,87,13.47,IN,1585279682
117,kilingi-nomme,58.15,24.96,32.85,88,21,3.53,EE,1585279682
118,severo-kurilsk,50.68,156.12,37.26,90,56,5.61,RU,1585279682
119,buchanan,5.88,-10.05,79.09,87,83,5.5,LR,1585279683
120,alice springs,-23.7,133.88,87.8,25,2,12.75,AU,1585279645
